model,overall_score,correctness,completeness,recall,invalid_extra_docs,tags
metor.com,80.34,82.0,86.22,85.53,4.96,
CDL (Causal Dynamics Lab),78.95,82.0,85.16,80.54,14.08,
Troml,76.79,83.8,81.84,86.55,12.65,
Skyller,71.93,77.0,79.14,81.6,8.86,
OpenClaw,68.22,81.6,72.86,79.02,0.47,
SovraRAG.ch,65.61,74.6,72.37,78.8,8.87,
fgroo,63.27,71.0,71.03,72.5,0.63,
OpenAI File Search,61.03,69.8,67.87,71.65,15.7,
Bash Agent (GPT-5.4) + GPT-5.4,52.63,60.6,61.12,55.76,2.0,
BM25 + GPT-5.4,50.6,68.8,55.95,68.41,9.01,one_shot
RAGFlow,50.24,56.0,58.74,63.05,4.61,
Amazon Q (Kendra),48.96,55.4,60.65,70.38,1.49,
Azure AI Search,48.42,56.4,57.63,64.25,3.25,
hRAG,44.74,52.6,54.38,69.65,9.01,
CortexDB-KZ,42.04,47.4,49.21,56.24,9.2,
Vertex AI Search,41.87,49.2,55.45,61.76,4.05,
xFloor.ai,40.01,53.0,47.47,61.26,0.73,
NVIDIA AI Blueprints,37.73,59.6,45.2,72.61,7.72,
Vector (text-embedding-3-large) + GPT-5.4,37.72,51.4,42.94,46.03,9.32,one_shot
AnythingLLM,35.58,47.8,44.59,40.5,3.31,
Weaviate Verba,34.48,41.4,44.9,51.98,1.81,
Cymatix-Context,33.93,42.2,42.74,50.7,12.99,
LlamaIndex (default configs),27.2,32.4,37.76,30.56,1.49,
LangChain (default configs),24.98,31.0,35.65,36.39,3.15,
Open WebUI + Chroma,24.89,32.4,35.86,43.23,2.62,
