dataset,family,baseline_ndcg_at_10,neural_record_ndcg_at_10,delta_ndcg_at_10
architecture,adaptive,0.8560699230171966,0.8560699230171966,0.0
architecture,classical,0.9257807641624444,0.9257807641624444,0.0
architecture,embeddings,0.7237714735653961,0.7708433851860573,0.047071911620661266
architecture,ensemble,0.8500964545549008,0.8403672877146825,-0.009729166840218295
architecture,entity-graph,0.8350413379424438,0.8350413379424438,0.0
architecture,graphify,0.5775650846510725,0.5775650846510725,0.0
architecture,legacy,0.8154736310803241,0.8154736310803241,0.0
architecture,turso,0.5840043018567261,0.5840043018567261,0.0
astro,adaptive,0.8333545047679802,0.8333545047679802,0.0
astro,classical,0.8333545047679802,0.8333545047679802,0.0
astro,embeddings,0.7851983317054789,0.7434446547499104,-0.04175367695556853
astro,ensemble,0.8262231573917006,0.8245515371800917,-0.0016716202116089374
astro,entity-graph,0.6947023065501792,0.6947023065501792,0.0
astro,graphify,0.5779156769160976,0.5779156769160976,0.0
astro,legacy,0.6051893734409577,0.6051893734409577,0.0
astro,turso,0.47813551023378115,0.47813551023378115,0.0
data-science,adaptive,0.9178174181007902,0.9178174181007902,0.0
data-science,classical,0.8053872497363544,0.8053872497363544,0.0
data-science,embeddings,0.60043749109768,0.8789004393851517,0.27846294828747176
data-science,ensemble,0.9278098590730673,0.9286505509911679,0.0008406919181005446
data-science,entity-graph,0.8579062471314278,0.8579062471314278,0.0
data-science,graphify,0.5440998456059355,0.5440998456059355,0.0
data-science,legacy,0.8321588233274824,0.8321588233274824,0.0
data-science,turso,0.4016212910774567,0.4016212910774567,0.0
enterprise,adaptive,0.5033603261131847,0.5033603261131847,0.0
enterprise,classical,0.43423767296046306,0.43423767296046306,0.0
enterprise,embeddings,0.516406878690786,0.6319043854152289,0.11549750672444281
enterprise,ensemble,0.5534950398893288,0.5560667237718679,0.002571683882539144
enterprise,entity-graph,0.4673466879301481,0.4673466879301481,0.0
enterprise,graphify,0.13626228624863054,0.13626228624863054,0.0
enterprise,legacy,0.5749695375722894,0.5749695375722894,0.0
enterprise,turso,0.40319114502840775,0.40319114502840775,0.0
