candidate,qualified,expected_trials,completed_trials,errors,scored_trials,mean_ndcg_at_10,native_diagnostic_mean_reward,skill_digest,source_skill_digest,job_id,job_result_sha256,native_lock_sha256,mean_gain,improved_cells,unchanged_cells,regressed_cells,generation,profile
g0-baseline,True,32,32,0,32,0.664949504255878,0.664949504255878,sha256:76017c96d858c73103c958d99bdcee9379aa1e1407b8c576d1c3720502a7f205,sha256:76017c96d858c73103c958d99bdcee9379aa1e1407b8c576d1c3720502a7f205,73cbcc41-bb09-4292-b297-a33fe26816ec,5694a8a7fc75157bba0c9357d71cbb9ae0473e5db958eda174ba00f26d8aa2b6,781fcb7636353de13cfebd1e1a8acba58bb46adf4bef9021541534cb0f73062b,0.0,0,32,0,0,baseline
g0-neural-record,True,32,32,0,32,0.6771773254566847,0.6771773254566847,sha256:e609335ea352cdbd6bd5698705b49807320fa2c7815b773a1bfc36a76808fb03,sha256:e609335ea352cdbd6bd5698705b49807320fa2c7815b773a1bfc36a76808fb03,e604f401-c5bb-40f8-baf2-aea1651bd846,64793e24b78b151cbee3f0aff6b5b97e6a8afeaa7b766a46ce811fd53360a8df,f7ced4a51f790df5f63a1f7d0f81fb37bc2c82d1fbc4536455bf0563d7f92a7e,0.012227821200806788,5,24,3,0,neural-record
g0-quarter-expansion,True,32,32,0,32,0.6637885192854796,0.6637885192854796,sha256:49ec7e70e7422f51f8c03c86a80c41227ae11ea147f1e5d92c1c9e3b216f6d48,sha256:49ec7e70e7422f51f8c03c86a80c41227ae11ea147f1e5d92c1c9e3b216f6d48,4228189a-c761-4123-93f8-32795d438ca4,bee30df6e20d66e65896b2cb1fc5d9886c325f9bd8281dc1d08ff48a6d5bc5be,88b8f9c01bd7c53f856f4f0ee98b7761cddc258ff59afc247673f8574b099c72,-0.0011609849703984043,2,21,9,0,quarter-expansion
g0-bm25-low-b,True,32,32,0,32,0.6577287123189944,0.6577287123189944,sha256:52a0568b4f8cef55baca04e8f4e8e86e8a3b4277d03b3f781089dd28ba89a37e,sha256:52a0568b4f8cef55baca04e8f4e8e86e8a3b4277d03b3f781089dd28ba89a37e,e923a187-984a-4794-a339-f6863adc4690,291f32b3c98dbca2723fffe7c2782e68a6109d8925f08cd94cb6927468febef3,4e88f9ae9a0d756abffd78fba194514010e951255271c0ee41595823118415c5,-0.007220791936883519,7,17,8,0,bm25-low-b
g0-stronger-titles,True,32,32,0,32,0.6632845330941131,0.6632845330941131,sha256:896ce692aa9fbd5b438f754ff752d7d6dccdaddf40ef1c6e35a51ceaae1fe910,sha256:896ce692aa9fbd5b438f754ff752d7d6dccdaddf40ef1c6e35a51ceaae1fe910,e01cb9fe-9bec-49ab-aaa1-25b6d4c04586,389a0676d0890fdfa8b6a377ec8293966703c053d4ba34a74c18f93f785eec8b,05ad508a9df9fa404c3cc60b8a640e095cad3e3c271ba7ed33aef97093820cac,-0.0016649711617648943,4,24,4,0,stronger-titles
g1-baseline,True,32,32,0,32,0.664949504255878,0.664949504255878,sha256:76017c96d858c73103c958d99bdcee9379aa1e1407b8c576d1c3720502a7f205,,be5ad006-07bd-433c-8540-75ec2cb7ecb6,2eb7d7b59ac67b885ecab673d3a9b223e7f739248e82279bf306997a3ba63f76,630ac400c64b23891570051a01dbc0b8f4d7cab66de9aaa683a447edb4127bc2,0.0,0,32,0,1,baseline
g1-neural-expand,True,32,32,0,32,0.6760862023247678,0.6760862023247678,sha256:260ac9c388f4f23a90997e4cdd6e6760251582e1bc0537a58fe0a5fc01284cdd,,b2f1707e-f6a5-4420-a19b-1196e5869527,160e9bd26a7fe063d0d436860e44b95980000a5d8c37247b7e65d064ad658657,4ee9b9e840735d9fd81c2f51b0734a89cf0515864d04e5dc63a49cbfab129fee,0.011136698068889839,5,17,10,1,neural-expand
g1-neural-titles,True,32,32,0,32,0.6756054100589377,0.6756054100589377,sha256:28de53e12b490d1bcefca10e833e2fd73f60ef1014a0af197c3faf570c452e0a,,072d696f-7fc3-49b6-a12a-dbb5b4522378,ba6901df51155bceda7309171d4b0fb9f74a30d792bfc12cdad77f44a02c8b14,16297790ce4ad1e61bd02cbdcfbb1f8cfeaea41d5148eae2de9fa2a5ce1d5b90,0.010655905803059751,7,19,6,1,neural-titles
g1-neural-bm25,True,32,32,0,32,0.6696797164022297,0.6696797164022297,sha256:667052463aafe15b695600406e7635bbf05ecb0b2a5070e5e5eea988a7b57ab6,,c14e6b57-0b05-4b0f-a335-7f09e6971f4f,c9788ca3e940e282e96807af42f7da24a614a1e4ae39ae5af8156729e95a35c0,7b13cb2b1d9aabb95ec4651c44dbdc357395d215002fba3705333e58902cda4c,0.00473021214635172,10,13,9,1,neural-bm25
g1-expand-titles,False,32,31,0,31,,0.6532749899184594,sha256:6a717613689621a56fa28945311d31cc0ffb0fad60f8eccf15810d04220fb946,,5d21a4e2-7d8b-47c6-b7a4-aa4762e7d771,0fc32c3b5412fd0279dcf923b782ed0c3a410a178e6523d8ed52d2cb4215ecdf,f9a78f49a7e83daad11fb943f9ed012a0d4f6eb6ddb67807f69a1d91291c2e77,,,,,1,expand-titles
