dataset,family,treatment,candidate,strategy,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,query_p95_ms,double_build_seconds,knowledge_bytes,agent_seconds,native_trial_seconds
enterprise-rag-40,legacy,consultation,baseline,baseline,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.0203139999969153,34.676517639,4933955,35.414554,76.491182
enterprise-rag-40,legacy,consultation,candidate-001,bm25-saturation,lexical,True,40,0.5868341631156483,0.6185515873015872,0.6025,0.5,9.098394000005783,35.189045789999994,4933955,36.262996,77.925117
enterprise-rag-40,legacy,consultation,candidate-002,bm25-saturation,lexical,True,40,0.5814176888760005,0.6150793650793651,0.5983333333333334,0.5,10.068982999996479,36.145956987999966,4933955,37.198681,79.770727
enterprise-rag-40,legacy,consultation,candidate-003,bm25-saturation,lexical,True,40,0.5961724167905328,0.6248015873015873,0.615,0.525,9.630229999970652,35.102512656000044,4933955,36.113932,77.818155
enterprise-rag-40,legacy,consultation,candidate-004,bm25-saturation,lexical,True,40,0.5952238585899123,0.6185515873015872,0.615,0.5,9.135651000065081,34.23246565499994,4933955,35.227337,76.484663
enterprise-rag-40,legacy,consultation,candidate-005,length-normalization,lexical,True,40,0.5777585149949644,0.6150793650793651,0.5944444444444444,0.5,9.411178999926051,35.232918702000006,4933955,36.33343,79.163457
enterprise-rag-40,legacy,consultation,candidate-006,length-normalization,lexical,True,40,0.5651710648556278,0.6275793650793651,0.5775,0.525,9.357179000062388,34.5759375560001,4933955,35.602821,77.608082
enterprise-rag-40,legacy,consultation,candidate-007,length-normalization,lexical,True,40,0.584827182844353,0.6185515873015872,0.5983333333333334,0.5,9.017466999921453,35.01092116199993,4933955,36.06804,78.557866
enterprise-rag-40,legacy,consultation,candidate-008,title-weight,lexical,True,40,0.5897017567394892,0.6248015873015873,0.6025,0.525,9.024292000049172,35.76220283800012,4933955,36.817959,79.922624
enterprise-rag-40,legacy,consultation,candidate-009,title-weight,lexical,True,40,0.5877438972143467,0.6213293650793651,0.6025,0.5,9.456769999815151,34.38642311600006,4933955,35.431444,77.361877
enterprise-rag-40,legacy,consultation,candidate-010,title-weight,lexical,True,40,0.5808281321115133,0.6150793650793651,0.5986111111111111,0.5,9.054544000264286,34.53019030999985,4933955,35.537252,77.627695
enterprise-rag-40,embeddings,construction,baseline,baseline,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,171.34919800000148,78.18539063600002,9891587,96.688717,137.549273
enterprise-rag-40,embeddings,construction,baseline,baseline,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,8.871930000026396,78.18539063600002,9891587,96.688717,137.549273
enterprise-rag-40,embeddings,construction,baseline,baseline,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,173.38590299999623,78.18539063600002,9891587,96.688717,137.549273
enterprise-rag-40,embeddings,construction,candidate-001,semantic-segmentation,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,203.4381089999897,76.271489213,9919241,96.916191,139.02279
enterprise-rag-40,embeddings,construction,candidate-001,semantic-segmentation,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.038821000046937,76.271489213,9919241,96.916191,139.02279
enterprise-rag-40,embeddings,construction,candidate-001,semantic-segmentation,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,194.87533000000212,76.271489213,9919241,96.916191,139.02279
enterprise-rag-40,embeddings,construction,candidate-002,semantic-segmentation,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,175.02502900003947,75.21075574700001,9919241,94.018765,136.038264
enterprise-rag-40,embeddings,construction,candidate-002,semantic-segmentation,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.04679000007036,75.21075574700001,9919241,94.018765,136.038264
enterprise-rag-40,embeddings,construction,candidate-002,semantic-segmentation,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,171.564783000008,75.21075574700001,9919241,94.018765,136.038264
enterprise-rag-40,embeddings,construction,candidate-003,semantic-segmentation,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,177.28502799991475,75.38770157500005,9919241,94.22226,136.074614
enterprise-rag-40,embeddings,construction,candidate-003,semantic-segmentation,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.08628599995609,75.38770157500005,9919241,94.22226,136.074614
enterprise-rag-40,embeddings,construction,candidate-003,semantic-segmentation,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,176.74914299993816,75.38770157500005,9919241,94.22226,136.074614
enterprise-rag-40,embeddings,construction,candidate-004,semantic-context,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,176.59054899991133,75.74633429300002,9919241,94.984167,138.061679
enterprise-rag-40,embeddings,construction,candidate-004,semantic-context,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.69327699999667,75.74633429300002,9919241,94.984167,138.061679
enterprise-rag-40,embeddings,construction,candidate-004,semantic-context,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,199.0687740001249,75.74633429300002,9919241,94.984167,138.061679
enterprise-rag-40,embeddings,construction,candidate-005,semantic-context,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,187.53402900006222,74.39023823899993,9919241,93.082545,135.675602
enterprise-rag-40,embeddings,construction,candidate-005,semantic-context,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.292218000155117,74.39023823899993,9919241,93.082545,135.675602
enterprise-rag-40,embeddings,construction,candidate-005,semantic-context,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,171.39274700002716,74.39023823899993,9919241,93.082545,135.675602
enterprise-rag-40,embeddings,construction,candidate-006,semantic-context,hybrid,True,40,0.6319043854152289,0.6838293650793651,0.64375,0.575,177.0475890000398,74.71656311099991,9919241,93.418566,135.815935
enterprise-rag-40,embeddings,construction,candidate-006,semantic-context,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.071334000054776,74.71656311099991,9919241,93.418566,135.815935
enterprise-rag-40,embeddings,construction,candidate-006,semantic-context,vector,False,40,0.6070458273832384,0.6893849206349206,0.6081547619047619,0.575,171.83881500000098,74.71656311099991,9919241,93.418566,135.815935
enterprise-rag-40,classical,construction,baseline,baseline,association,False,40,0.4772435834225347,0.45863095238095236,0.575,0.375,40.473107000025266,59.059161268000025,8014933,64.714714,108.669426
enterprise-rag-40,classical,construction,baseline,baseline,bm25,False,40,0.5893268014207212,0.6456349206349207,0.6059027777777778,0.55,38.10664900015581,59.059161268000025,8014933,64.714714,108.669426
enterprise-rag-40,classical,construction,baseline,baseline,fusion,True,40,0.4434644291211766,0.4246031746031746,0.575,0.325,41.00249800012534,59.059161268000025,8014933,64.714714,108.669426
enterprise-rag-40,classical,construction,baseline,baseline,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,40.1626599998508,59.059161268000025,8014933,64.714714,108.669426
enterprise-rag-40,classical,construction,candidate-001,length-normalization,association,False,40,0.4694650942221584,0.45863095238095236,0.5625,0.375,40.721687000086604,57.76421182200011,8014933,63.413271,105.413881
enterprise-rag-40,classical,construction,candidate-001,length-normalization,bm25,False,40,0.5894915401009949,0.6498015873015872,0.6066964285714286,0.55,36.75436499997886,57.76421182200011,8014933,63.413271,105.413881
enterprise-rag-40,classical,construction,candidate-001,length-normalization,fusion,True,40,0.44627512675453707,0.44613095238095235,0.5625,0.35,40.74877299990476,57.76421182200011,8014933,63.413271,105.413881
enterprise-rag-40,classical,construction,candidate-001,length-normalization,topic,False,40,0.4749385706741984,0.4622023809523809,0.5625,0.375,42.230677999896216,57.76421182200011,8014933,63.413271,105.413881
enterprise-rag-40,classical,construction,candidate-002,length-normalization,association,False,40,0.4464720744934537,0.44613095238095235,0.5333333333333333,0.35,37.92042900022352,57.85448298200026,8014931,63.306986,105.38436
enterprise-rag-40,classical,construction,candidate-002,length-normalization,bm25,False,40,0.5734130533272326,0.6525793650793651,0.5748214285714286,0.55,37.5196820000383,57.85448298200026,8014931,63.306986,105.38436
enterprise-rag-40,classical,construction,candidate-002,length-normalization,fusion,True,40,0.41703716746762476,0.41488095238095235,0.5333333333333333,0.3,37.62402799975462,57.85448298200026,8014931,63.306986,105.38436
enterprise-rag-40,classical,construction,candidate-002,length-normalization,topic,False,40,0.4609451108812749,0.4622023809523809,0.5425,0.35,38.430934000189154,57.85448298200026,8014931,63.306986,105.38436
enterprise-rag-40,classical,construction,candidate-003,length-normalization,association,False,40,0.47625309193679655,0.45863095238095236,0.575,0.375,39.8971800000254,57.03544628000009,8014931,62.555499,104.208846
enterprise-rag-40,classical,construction,candidate-003,length-normalization,bm25,False,40,0.5932201786024145,0.6498015873015872,0.6066964285714286,0.55,37.418575000174314,57.03544628000009,8014931,62.555499,104.208846
enterprise-rag-40,classical,construction,candidate-003,length-normalization,fusion,True,40,0.44843042295215757,0.4336309523809524,0.575,0.325,38.24854200001937,57.03544628000009,8014931,62.555499,104.208846
enterprise-rag-40,classical,construction,candidate-003,length-normalization,topic,False,40,0.482887517741295,0.4622023809523809,0.575,0.375,39.46247400017455,57.03544628000009,8014931,62.555499,104.208846
enterprise-rag-40,classical,construction,candidate-004,length-normalization,association,False,40,0.47681588547145193,0.45863095238095236,0.575,0.375,47.662793999734276,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,bm25,False,40,0.5906141181239353,0.6498015873015872,0.6052777777777778,0.55,40.224555999884615,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,fusion,True,40,0.4581750361152096,0.4496031746031746,0.5875,0.35,47.1052289999534,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-004,length-normalization,topic,False,40,0.48110404197809953,0.4622023809523809,0.575,0.375,44.4883690001916,56.63954396600002,8014931,62.866749,104.540695
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,association,False,40,0.4772435834225347,0.45863095238095236,0.575,0.375,37.89593999999852,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,bm25,False,40,0.5886502392025978,0.6456349206349207,0.6059027777777778,0.55,36.99188700011291,57.38648494500012,8014931,62.852569,104.282295
enterprise-rag-40,classical,construction,candidate-005,bm25-saturation,fusion,True,40,0.44596211048325485,0.4308531746031746,0.575,0.325,40.69605799986675,57.38648494500012,8014931,62.852569,104.282295
